time,latitude,longitude,mag
2017-03-06T19:40:13.580Z,34.2501667,-118.0035,1.97
2017-03-06T19:34:03.970Z,33.1998333,-117.193,0.69
2017-03-06T19:25:59.490Z,-31.182,-179.9279,4.9
2017-03-06T19:25:38.990Z,34.0563333,-117.2741667,0.93
2017-03-06T19:24:27.140Z,33.1471667,-116.5178333,1.38
2017-03-06T19:24:16.874Z,64.6158,-148.3362,1.2
2017-03-06T19:19:19.310Z,40.3338318,-124.8041687,3.85
2017-03-06T19:18:15.174Z,62.1238,-149.7529,2
2017-03-06T19:07:35.070Z,38.8093338,-122.7720032,0.94
2017-03-06T18:53:07.990Z,38.8366661,-122.8281631,0.69
2017-03-06T18:40:19.650Z,38.5153351,-122.5773315,1.94
2017-03-06T18:34:17.550Z,36.5778351,-121.4238358,1.54
2017-03-06T18:33:19.420Z,60.8905,-151.0437,1.8
2017-03-06T18:24:22.645Z,38.4288,-118.8893,0.8
2017-03-06T18:18:02.700Z,-24.0057,179.015,5
2017-03-06T18:17:48.945Z,38.406,-118.8522,1.1
2017-03-06T18:11:16.360Z,61.8062,-150.8253,1.3
2017-03-06T18:08:46.162Z,63.3242,-144.964,0.8
2017-03-06T18:08:27.080Z,33.8965,-117.0393333,1.17
2017-03-06T17:59:56.495Z,62.7638,-149.8444,2.1
2017-03-06T17:52:22.780Z,34.2126656,-117.93367,1.87
2017-03-06T17:35:00.406Z,60.9202,-152.9268,1.8
2017-03-06T17:30:50.090Z,60.8729,167.2543,5.2
2017-03-06T17:27:49.980Z,34.056,-116.9781667,1.19
2017-03-06T16:54:15.850Z,34.0926667,-117.4458333,1.26
2017-03-06T16:25:39.840Z,1.2018,126.5381,4.6
2017-03-06T16:21:09.250Z,38.8235016,-122.8073349,0.82
2017-03-06T16:17:25.960Z,39.8766,143.1645,4.6
2017-03-06T16:13:06.150Z,35.982,-117.3651667,1.68
2017-03-06T15:52:30.250Z,33.7286667,-116.8348333,0.84
2017-03-06T15:50:35.541Z,36.7273,-116.1945,0
2017-03-06T15:49:45.271Z,36.7321,-116.1861,-0.1
2017-03-06T15:35:09.340Z,33.7258333,-116.8351667,1.17
2017-03-06T15:24:40.240Z,34.6376667,-116.6653333,1.98
2017-03-06T15:23:57.227Z,38.3826,-118.8735,1
2017-03-06T15:22:32.450Z,38.8248329,-122.824501,1.85
2017-03-06T15:10:34.814Z,65.3167,-149.1066,1.2
2017-03-06T15:09:25.191Z,36.3303,-116.2741,0.1
2017-03-06T15:04:20.160Z,33.5041667,-116.7905,0.95
2017-03-06T14:55:00.781Z,37.2902,-117.6223,0.8
2017-03-06T14:54:24.722Z,39.3802,-119.7464,0.1
2017-03-06T14:44:57.500Z,38.8195,-122.7786636,0.5
2017-03-06T14:38:46.998Z,51.4075,-178.16,3.4
2017-03-06T14:24:03.520Z,33.4958333,-116.7908333,0.71
2017-03-06T14:12:48.400Z,38.8274994,-122.807663,1.23
2017-03-06T14:01:14.410Z,60.4667,-152.7162,1.9
2017-03-06T13:35:16.000Z,-31.238,-68.376,4.1
2017-03-06T13:24:31.770Z,33.5023333,-116.7913333,1.07
2017-03-06T13:05:48.766Z,57.7581,-156.405,2.7
2017-03-06T12:57:20.711Z,38.4326,-118.9023,1.3
2017-03-06T12:53:41.030Z,41.9509,-119.6355,1.6
2017-03-06T12:47:21.550Z,36.0050011,-120.564003,0.99
2017-03-06T12:45:16.839Z,59.916,-148.2264,2.3
2017-03-06T12:40:30.210Z,19.3761673,-155.2311707,2.57
2017-03-06T12:34:18.232Z,64.2152,-149.95,1.3
2017-03-06T12:26:08.430Z,38.809166,-122.8441696,1.22
2017-03-06T12:23:00.448Z,60.368,-151.6306,1.9
2017-03-06T12:20:50.017Z,60.4025,-151.6333,1.8
2017-03-06T12:16:39.850Z,38.8133316,-122.8195038,1.35
2017-03-06T12:09:33.900Z,38.8138351,-122.8188324,1.01
2017-03-06T12:03:46.050Z,44.7176667,-111.0631667,0.52
2017-03-06T11:58:46.587Z,61.7045,-148.1229,1.1
2017-03-06T11:56:53.500Z,38.8171654,-122.8209991,0.97
2017-03-06T11:47:26.816Z,60.206,-152.6281,2.5
2017-03-06T11:17:02.490Z,61.5257,-146.3312,1.7
2017-03-06T10:58:15.600Z,38.8296661,-122.8065033,1.34
2017-03-06T10:54:56.553Z,63.1387,-151.4439,2
2017-03-06T10:40:12.060Z,19.3828335,-155.2406616,1.72
2017-03-06T10:31:57.630Z,33.4871667,-116.4438333,0.65
2017-03-06T10:17:02.270Z,37.5256667,-118.834,0.62
2017-03-06T10:07:06.214Z,38.4055,-118.9232,1.4
2017-03-06T09:26:18.360Z,33.2241667,-116.0798333,1.67
2017-03-06T09:19:15.140Z,38.5805,-119.5818333,2.51
2017-03-06T09:02:35.400Z,37.4146652,-121.7626648,1.86
2017-03-06T08:52:51.526Z,37.9875,-118.7528,1
2017-03-06T08:40:17.160Z,19.3788338,-155.2338409,2.15
2017-03-06T08:32:15.350Z,-18.1346,-178.1833,4.6
2017-03-06T08:12:25.070Z,32.6865,-115.3876667,1.93
2017-03-06T08:05:09.520Z,33.147,-116.5153333,0.98
2017-03-06T08:01:56.577Z,39.8925,-119.0163,1.1
2017-03-06T07:51:38.700Z,36.0925,-117.4228333,1.37
